refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_001618,142,ENSG00000143799,PARP1
NM_001625,204,ENSG00000004455,AK2
NM_001634,262,ENSG00000123505,AMD1
NM_001640,327,ENSG00000164062,APEH
NM_001641,328,ENSG00000100823,APEX1
NM_001655,372,ENSG00000095139,ARCN1
NM_001658,375,ENSG00000143761,ARF1
NM_001662,381,ENSG00000004059,ARF5
NM_001663,382,ENSG00000165527,ARF6
NM_001664,387,ENSG00000067560,RHOA
NM_001668,405,ENSG00000143437,ARNT
NM_001675,468,ENSG00000128272,ATF4
NM_001685,522,ENSG00000154723,ATP5PF
NM_001686,506,ENSG00000110955,ATP5F1B
NM_001687,513,ENSG00000099624,ATP5F1D
NM_001688,515,ENSG00000116459,ATP5PB
NM_001689,518,ENSG00000154518,ATP5MC3
NM_001694,527,ENSG00000185883,ATP6V0C
NM_001695,528,ENSG00000155097,ATP6V1C1
NM_001696,529,ENSG00000131100,ATP6V1E1
NM_001697,539,ENSG00000241837,ATP5PO
NM_001698,549,ENSG00000148090,AUH
NM_001707,9275,ENSG00000106635,BCL7B
NM_001724,669,ENSG00000172331,BPGM
NM_001728,682,ENSG00000172270,BSG
NM_001746,821,ENSG00000283777,CANX
NM_001746,821,ENSG00000127022,CANX
NM_001749,826,ENSG00000126247,CAPNS1
NM_001751,833,ENSG00000278191,CARS1
NM_001751,833,ENSG00000110619,CARS1
NM_001762,908,ENSG00000146731,CCT6A
NM_001780,967,ENSG00000135404,CD63
NM_001791,998,ENSG00000070831,CDC42
NM_001806,1054,ENSG00000153879,CEBPG
NM_001810,1059,ENSG00000125817,CENPB
NM_001829,1182,ENSG00000109572,CLCN3
NM_001833,1211,ENSG00000122705,CLTA
NM_001834,1212,ENSG00000175416,CLTB
NM_001861,1327,ENSG00000131143,COX4I1
NM_001862,1329,ENSG00000135940,COX5B
NM_001863,1340,ENSG00000126267,COX6B1
NM_001865,1347,ENSG00000112695,COX7A2
NM_001867,1350,ENSG00000127184,COX7C
NM_001880,1386,ENSG00000115966,ATF2
NM_001892,1452,ENSG00000113712,CSNK1A1
NM_001893,1453,ENSG00000141551,CSNK1D
NM_001903,1495,ENSG00000044115,CTNNA1
NM_001904,1499,ENSG00000168036,CTNNB1
NM_001909,1509,ENSG00000117984,CTSD
NM_001913,1523,ENSG00000257923,CUX1
NM_001916,1537,ENSG00000179091,CYC1
NM_001918,1629,ENSG00000137992,DBT
NM_001919,1632,ENSG00000167969,ECI1
NM_001921,1635,ENSG00000129187,DCTD
NM_001923,1642,ENSG00000167986,DDB1
NM_001930,1725,ENSG00000095059,DHPS
NM_001933,1743,ENSG00000119689,DLST
NM_001938,1810,ENSG00000117505,DR1
NM_001948,1854,ENSG00000128951,DUT
NM_001950,1874,ENSG00000205250,E2F4
NM_001959,1933,ENSG00000283391,EEF1B2
NM_001959,1933,ENSG00000114942,EEF1B2
NM_001961,1938,ENSG00000167658,EEF2
NM_001969,1983,ENSG00000100664,EIF5
NM_001970,1984,ENSG00000288145,EIF5A
NM_001970,1984,ENSG00000132507,EIF5A
NM_001973,2005,ENSG00000158711,ELK4
NM_001983,2067,ENSG00000012061,ERCC1
