Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1434352_at,244.426314,271.631982,-0.899843649486017,0.122719395293723,B630005N14Rik,101148
1427985_at,41.6385268,46.272857,-0.899847761723466,0.199046848905593,Spin4,270624
1420056_s_at,244.89084,215.074684,-1.13863163923096,0.04263922793684,Jmjd6,107817
1434916_at,75.0511458,83.404034,-0.899850309398704,0.137567650700711,Vkorc1l1,69568
1430196_at,17.0166283,18.9103726,-0.899856848933796,0.174929238278681,8430408J09Rik,66804
1443586_at,40.1097696,44.5733286,-0.899860316916067,0.432623369737987,Fip1l1,66899
1445007_at,24.0189278,26.6915224,-0.899871031710053,0.183450693448686,,
1441214_at,103.8657148,115.422766,-0.899871995789808,0.350395290803063,Exph5,320051
1427171_at,201.55127,223.975454,-0.899881064645593,0.204008907343317,Rlf,109263
1429588_at,1014.798786,891.286324,-1.13857775966503,0.013066242320209,2810474O19Rik,67246
1453861_at,12.7393592,14.1562222,-0.899912350909553,0.204406732158945,Fam78b,226610
1436327_a_at,29.8886752,33.2121176,-0.899932836562039,0.22367393537239,Vps53,68299
1458714_at,9.707949,10.7872946,-0.899942882805852,0.07911703314073,1700093C20Rik,76623
1421011_at,49.2979094,54.7788902,-0.899943558914963,0.560052610768704,Hsd17b11,114664
1460586_at,272.317068,239.180678,-1.13854124955696,0.020247862958262,Megf8,269878
1446432_at,22.7169444,25.2422496,-0.89995720508207,0.097222848136029,B530045E10Rik,320966
1449946_a_at,24.45024,27.1679528,-0.899966227856521,0.146590866665849,Zfp593,68040
1444767_at,9.5141936,10.5715227,-0.899983272986776,0.061836686806148,,
1450694_at,891.83586,990.87976,-0.90004448168363,0.275140858116767,Fkbp2,14227
1426195_a_at,3585.57352,3983.77142,-0.900044993043301,0.085517933897471,Cst3,13010
1460291_at,12.1915772,13.5454555,-0.900049260063643,0.26425689373392,Cdk6,12571
